dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,filename
celeba,20,10,3,erdos,02,64,10000,balance,0,directed_deviation,1,0.8665,0.8665,celeba_20_10_3_erdos_02_64_10000_balance_0attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,10,directed_deviation,1,0.5107,0.6571,celeba_20_10_3_erdos_02_64_10000_balance_10attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,10,gaussian,1,0.4962,0.5763,celeba_20_10_3_erdos_02_64_10000_balance_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,20,directed_deviation,1,0.6674,0.7435,celeba_20_10_3_erdos_02_64_10000_balance_20attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,20,gaussian,1,0.5131,0.5172,celeba_20_10_3_erdos_02_64_10000_balance_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,30,directed_deviation,1,0.7531,0.7462,celeba_20_10_3_erdos_02_64_10000_balance_30attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,30,gaussian,1,0.4874,0.5012,celeba_20_10_3_erdos_02_64_10000_balance_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,40,directed_deviation,1,0.6176,0.6757,celeba_20_10_3_erdos_02_64_10000_balance_40attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,40,gaussian,1,0.508,0.4973,celeba_20_10_3_erdos_02_64_10000_balance_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,50,directed_deviation,1,0.5398,0.6039,celeba_20_10_3_erdos_02_64_10000_balance_50attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,50,gaussian,1,0.5013,0.513,celeba_20_10_3_erdos_02_64_10000_balance_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,60,directed_deviation,1,0.6761,0.6955,celeba_20_10_3_erdos_02_64_10000_balance_60attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,60,gaussian,1,0.491,0.4925,celeba_20_10_3_erdos_02_64_10000_balance_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,70,directed_deviation,1,0.545,0.5603,celeba_20_10_3_erdos_02_64_10000_balance_70attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,70,gaussian,1,0.5015,0.5081,celeba_20_10_3_erdos_02_64_10000_balance_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,80,directed_deviation,1,0.6768,0.7349,celeba_20_10_3_erdos_02_64_10000_balance_80attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,balance,80,gaussian,1,0.5134,0.5429,celeba_20_10_3_erdos_02_64_10000_balance_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,0,directed_deviation,1,0.8695,0.8695,celeba_20_10_3_erdos_02_64_10000_coarse_0attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,10,directed_deviation,1,0.5107,0.6362,celeba_20_10_3_erdos_02_64_10000_coarse_10attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,10,gaussian,1,0.565,0.572,celeba_20_10_3_erdos_02_64_10000_coarse_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,20,directed_deviation,1,0.6763,0.6747,celeba_20_10_3_erdos_02_64_10000_coarse_20attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,20,gaussian,1,0.5545,0.5657,celeba_20_10_3_erdos_02_64_10000_coarse_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,30,directed_deviation,1,0.7183,0.7405,celeba_20_10_3_erdos_02_64_10000_coarse_30attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,30,gaussian,1,0.5126,0.5077,celeba_20_10_3_erdos_02_64_10000_coarse_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,40,directed_deviation,1,0.6376,0.5776,celeba_20_10_3_erdos_02_64_10000_coarse_40attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,40,gaussian,1,0.5067,0.5005,celeba_20_10_3_erdos_02_64_10000_coarse_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,50,directed_deviation,1,0.5595,0.5784,celeba_20_10_3_erdos_02_64_10000_coarse_50attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,50,gaussian,1,0.5025,0.5105,celeba_20_10_3_erdos_02_64_10000_coarse_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,60,directed_deviation,1,0.5595,0.5485,celeba_20_10_3_erdos_02_64_10000_coarse_60attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,60,gaussian,1,0.5146,0.5442,celeba_20_10_3_erdos_02_64_10000_coarse_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,70,directed_deviation,1,0.6315,0.6323,celeba_20_10_3_erdos_02_64_10000_coarse_70attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,70,gaussian,1,0.5191,0.5513,celeba_20_10_3_erdos_02_64_10000_coarse_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,80,directed_deviation,1,0.516,0.5174,celeba_20_10_3_erdos_02_64_10000_coarse_80attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,coarse,80,gaussian,1,0.5161,0.5354,celeba_20_10_3_erdos_02_64_10000_coarse_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,0,directed_deviation,1,0.9218,0.9218,celeba_20_10_3_erdos_02_64_10000_d-fedavg_0attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,10,directed_deviation,1,0.5107,0.6758,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,10,gaussian,1,0.4992,0.5016,celeba_20_10_3_erdos_02_64_10000_d-fedavg_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,20,directed_deviation,1,0.5816,0.6964,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,20,gaussian,1,0.5008,0.5099,celeba_20_10_3_erdos_02_64_10000_d-fedavg_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,30,directed_deviation,1,0.5168,0.6184,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,30,gaussian,1,0.5047,0.4992,celeba_20_10_3_erdos_02_64_10000_d-fedavg_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,40,directed_deviation,1,0.5462,0.6222,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,40,gaussian,1,0.4984,0.4966,celeba_20_10_3_erdos_02_64_10000_d-fedavg_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,50,directed_deviation,1,0.5159,0.5906,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,50,gaussian,1,0.5049,0.4978,celeba_20_10_3_erdos_02_64_10000_d-fedavg_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,60,directed_deviation,1,0.5252,0.6082,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,60,gaussian,1,0.5071,0.4964,celeba_20_10_3_erdos_02_64_10000_d-fedavg_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,70,directed_deviation,1,0.5084,0.5163,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,70,gaussian,1,0.5051,0.511,celeba_20_10_3_erdos_02_64_10000_d-fedavg_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,80,directed_deviation,1,0.5121,0.5162,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,d-fedavg,80,gaussian,1,0.4986,0.4933,celeba_20_10_3_erdos_02_64_10000_d-fedavg_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,0,directed_deviation,1,0.9083,0.9083,celeba_20_10_3_erdos_02_64_10000_krum_0attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,10,directed_deviation,1,0.9101,0.9085,celeba_20_10_3_erdos_02_64_10000_krum_10attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,10,gaussian,1,0.9094,0.9117,celeba_20_10_3_erdos_02_64_10000_krum_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,20,directed_deviation,1,0.8101,0.8846,celeba_20_10_3_erdos_02_64_10000_krum_20attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,20,gaussian,1,0.9074,0.9113,celeba_20_10_3_erdos_02_64_10000_krum_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,30,directed_deviation,1,0.7137,0.8839,celeba_20_10_3_erdos_02_64_10000_krum_30attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,30,gaussian,1,0.7687,0.9084,celeba_20_10_3_erdos_02_64_10000_krum_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,40,directed_deviation,1,0.5584,0.5735,celeba_20_10_3_erdos_02_64_10000_krum_40attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,40,gaussian,1,0.5023,0.507,celeba_20_10_3_erdos_02_64_10000_krum_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,50,directed_deviation,1,0.5111,0.5682,celeba_20_10_3_erdos_02_64_10000_krum_50attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,50,gaussian,1,0.5049,0.4978,celeba_20_10_3_erdos_02_64_10000_krum_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,60,directed_deviation,1,0.5252,0.6082,celeba_20_10_3_erdos_02_64_10000_krum_60attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,60,gaussian,1,0.5071,0.4964,celeba_20_10_3_erdos_02_64_10000_krum_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,70,directed_deviation,1,0.5084,0.5163,celeba_20_10_3_erdos_02_64_10000_krum_70attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,70,gaussian,1,0.5051,0.511,celeba_20_10_3_erdos_02_64_10000_krum_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,80,directed_deviation,1,0.5121,0.5162,celeba_20_10_3_erdos_02_64_10000_krum_80attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,krum,80,gaussian,1,0.4986,0.4933,celeba_20_10_3_erdos_02_64_10000_krum_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,0,directed_deviation,1,0.9053,0.9053,celeba_20_10_3_erdos_02_64_10000_ubar_0attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,10,directed_deviation,1,0.918,0.9127,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,10,gaussian,1,0.918,0.9127,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_gaussian_1lambda.log
