dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,overall_asr,honest_asr,compromised_asr,filename
celeba,20,10,3,erdos,2.0,64,10000,balance,10,directed_deviation,1,0.8915,0.8804,,,,celeba_20_10_3_erdos_02_64_10000_balance_10attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,10,backdoor,1,0.5107,0.8804,0.6049,0.561,1.0,celeba_20_10_3_erdos_02_64_10000_balance_10attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,10,gaussian,1,0.8915,0.8804,,,,celeba_20_10_3_erdos_02_64_10000_balance_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,10,krum,1,0.8915,0.8804,,,,celeba_20_10_3_erdos_02_64_10000_balance_10attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,20,directed_deviation,1,0.8835,0.8817,,,,celeba_20_10_3_erdos_02_64_10000_balance_20attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,20,backdoor,1,0.5131,0.8817,0.6473,0.5591,1.0,celeba_20_10_3_erdos_02_64_10000_balance_20attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,20,gaussian,1,0.8835,0.8817,,,,celeba_20_10_3_erdos_02_64_10000_balance_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,20,krum,1,0.8835,0.8817,,,,celeba_20_10_3_erdos_02_64_10000_balance_20attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,30,directed_deviation,1,0.8857,0.8885,,,,celeba_20_10_3_erdos_02_64_10000_balance_30attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,30,backdoor,1,0.5154,0.8887,0.6934,0.5621,1.0,celeba_20_10_3_erdos_02_64_10000_balance_30attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,30,gaussian,1,0.8857,0.8887,,,,celeba_20_10_3_erdos_02_64_10000_balance_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,30,krum,1,0.8857,0.8887,,,,celeba_20_10_3_erdos_02_64_10000_balance_30attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,40,directed_deviation,1,0.8902,0.8895,,,,celeba_20_10_3_erdos_02_64_10000_balance_40attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,40,backdoor,1,0.5124,0.8895,0.7403,0.5672,1.0,celeba_20_10_3_erdos_02_64_10000_balance_40attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,40,gaussian,1,0.8902,0.8895,,,,celeba_20_10_3_erdos_02_64_10000_balance_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,40,krum,1,0.8902,0.8895,,,,celeba_20_10_3_erdos_02_64_10000_balance_40attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,50,directed_deviation,1,0.8951,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_balance_50attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,50,backdoor,1,0.511,0.8995,0.7757,0.5514,1.0,celeba_20_10_3_erdos_02_64_10000_balance_50attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,50,gaussian,1,0.8951,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_balance_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,50,krum,1,0.8951,0.8995,,,,celeba_20_10_3_erdos_02_64_10000_balance_50attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,60,directed_deviation,1,0.8648,0.9006,,,,celeba_20_10_3_erdos_02_64_10000_balance_60attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,60,backdoor,1,0.5167,0.901,0.8196,0.549,1.0,celeba_20_10_3_erdos_02_64_10000_balance_60attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,balance,60,gaussian,1,0.8649,0.901,,,,celeba_20_10_3_erdos_02_64_10000_balance_60attack_gaussian_1lambda.log
